day	holiday	unam-vacation
20170915	0	0
20170916	1	0
20171101	0	0
20171102	1	0
20171120	1	0
20171212	0	0
20171218	0	1
20171219	0	1
20171220	0	1
20171221	0	1
20171222	0	1
20171225	1	1
20171226	0	1
20171227	0	1
20171228	0	1
20171229	0	1
20180101	1	1
20180102	0	1
20180103	0	1
20180104	0	1
20180105	0	1
20180205	1	0
20180319	1	0
20180326	0	1
20180327	0	1
20180328	0	1
20180329	1	1
20180330	1	1
20180501	1	0
20180510	0	0
20180515	0	0
20180702	0	1
20180703	0	1
20180704	0	1
20180705	0	1
20180706	0	1
20180709	0	1
20180710	0	1
20180711	0	1
20180712	0	1
20180713	0	1
20180716	0	1
20180717	0	1
20180718	0	1
20180719	0	1
20180720	0	1
20180915	0	0
20180916	1	0
20181101	0	0
20181102	1	0
20181119	1	0
20181201	1	0
20181212	0	0
20181217	0	1
20181218	0	1
20181219	0	1
20181220	0	1
20181221	0	1
20181224	0	1
20181225	1	1
20181226	0	1
20181227	0	1
20181228	0	1
20181231	0	1
20190101	1	1
20190102	0	1
20190103	0	1
20190104	0	1
20190204	1	0
20190318	1	0
20190415	0	1
20190416	0	1
20190417	0	1
20190418	1	1
20190419	1	1
20190501	1	0
20190510	0	0
20190515	0	0
20190701	0	1
20190702	0	1
20190703	0	1
20190704	0	1
20190705	0	1
20190708	0	1
20190709	0	1
20190710	0	1
20190711	0	1
20190712	0	1
20190715	0	1
20190716	0	1
20190717	0	1
20190718	0	1
20190719	0	1
20190915	0	0
20190916	1	0
20191101	0	0
20191102	1	0
20191118	1	0
20191212	0	0
20191216	0	1
20191217	0	1
20191218	0	1
20191219	0	1
20191220	0	1
20191223	0	1
20191224	0	1
20191225	1	1
20191226	0	1
20191227	0	1
20191230	0	1
20191231	0	1
20200101	1	1
20200102	0	1
20200103	0	1
20200203	1	0
20200316	1	0
20200406	0	1
20200407	0	1
20200408	0	1
20200409	1	1
20200410	1	1
20200501	1	0
20200510	0	0
20200515	0	0
20200706	0	1
20200707	0	1
20200708	0	1
20200709	0	1
20200710	0	1
20200713	0	1
20200714	0	1
20200715	0	1
20200716	0	1
20200717	0	1
20200720	0	1
20200721	0	1
20200722	0	1
20200723	0	1
20200724	0	1
20200915	0	0
20200916	1	0
20201101	0	0
20201102	1	0
20201116	1	0
20201212	0	0
20201214	0	1
20201215	0	1
20201216	0	1
20201217	0	1
20201218	0	1
20201221	0	1
20201222	0	1
20201223	0	1
20201224	0	1
20201225	1	1
20201228	0	1
20201229	0	1
20201230	0	1
20201231	0	1
20210101	1	1
20210201	1	0
20210315	1	0
20210329	0	1
20210330	0	1
20210331	0	1
20210401	1	1
20210402	1	1
20210501	1	0
20210510	0	0
20210515	0	0
20210705	0	1
20210706	0	1
20210707	0	1
20210708	0	1
20210709	0	1
20210712	0	1
20210713	0	1
20210714	0	1
20210715	0	1
20210716	0	1
20210719	0	1
20210720	0	1
